prediction_date,target_date,predicted_return,direction,confidence,btc_price_at_prediction,predicted_price,actual_return,actual_price,correct,logged_at
2026-03-28 00:00:00,2026-04-04 00:00:00,-0.0061325263231992,DOWN,LOW,66319.6953125,65912.98692347901,0.0146384917470665,67290.515625,0.0,2026-04-04 07:46
2026-04-09,2026-04-16,0.0061788028106093,UP,LOW,72408.703125,72856.10222338133,,,0.0,2026-04-10 00:11
2026-04-10,2026-04-17,-0.0159962624311447,DOWN,LOW,,,,,1.0,2026-04-10 08:20
2026-04-11,2026-04-18,-0.0108819538727402,DOWN,LOW,,,,,1.0,2026-04-11 07:47
2026-04-12,2026-04-19,-0.0035530608147382,DOWN,LOW,,,,,,2026-04-12 08:00
2026-04-13,2026-04-20,0.0042660920880734,UP,LOW,,,,,,2026-04-13 08:59
2026-04-14,2026-04-21,0.01117829605937,UP,LOW,,,,,,2026-04-14 08:24
2026-04-15,2026-04-22,-0.0135826859623193,DOWN,LOW,,,,,,2026-04-15 08:26
2026-04-16,2026-04-23,-0.0482114925980567,DOWN,MEDIUM,,,,,,2026-04-16 08:25
2026-04-17,2026-04-24,-0.0523089580237865,DOWN,HIGH,,,,,,2026-04-17 08:25
2026-04-18,2026-04-25,-0.0467582792043685,DOWN,MEDIUM,,,,,,2026-04-18 07:57
