Date,Actual,Predicted
2025-03-25,86926.01,87415.016
2025-03-26,87217.48,87758.555
2025-03-27,84381.8,87244.04
2025-03-28,82616.83,86446.6
2025-03-29,82379.98,85323.76
2025-03-30,82534.32,85258.06
2025-03-31,85170.37,85761.586
2025-04-01,82490.08,84028.52
2025-04-02,83174.33,85597.76
2025-04-03,83860.16,84401.34
2025-04-04,83498.25,84645.91
2025-04-05,78370.75,82228.87
2025-04-06,79140.01,82591.17
2025-04-07,76251.64,79038.086
2025-04-08,82594.75,83130.0
2025-04-09,79552.34,78393.61
2025-04-10,83380.47,83633.57
2025-04-11,85271.01,82512.44
2025-04-12,83733.07,84133.43
2025-04-13,84590.36,85270.33
2025-04-14,83629.78,84659.875
2025-04-15,84028.72,85253.19
2025-04-16,84961.97,85193.234
2025-04-17,84466.47,84915.36
2025-04-18,85074.99,85447.08
2025-04-19,85177.34,85207.74
2025-04-20,87522.07,86938.68
2025-04-21,93489.1,89130.11
2025-04-22,93740.92,89577.82
2025-04-23,94021.96,91706.37
2025-04-24,94708.79,92792.39
2025-04-25,94666.64,93660.86
2025-04-26,93780.57,93821.31
2025-04-27,95042.57,95153.77
2025-04-28,94271.09,94319.41
2025-04-29,94182.54,95213.53
2025-04-30,96524.98,95718.77
2025-05-01,96929.80999999998,96011.0
2025-05-02,95861.33,96482.46
2025-05-03,94272.55,95999.164
2025-05-04,94733.99,96441.44
2025-05-05,96839.17,96368.58
2025-05-06,97058.32,95610.23
2025-05-07,103253.48999999999,98922.75
2025-05-08,102986.96,98655.484
2025-05-09,104821.18999999999,102522.88
2025-05-10,104137.61999999998,102208.5
2025-05-11,102800.21000000002,103332.71
2025-05-12,104131.06,103460.09
2025-05-13,103545.38000000002,103199.47
2025-05-14,103786.43,103775.086
2025-05-15,103500.03,102939.7
2025-05-16,103161.07,103459.61
2025-05-17,106473.45999999999,104538.19
2025-05-18,105616.18,104036.72
2025-05-19,106883.24,105475.3
2025-05-20,109699.54,106313.66
2025-05-21,111722.53,108120.016
2025-05-22,107329.61,107502.484
2025-05-23,107794.01,108998.75
