Date,Actual,Predicted
2025-03-25,86926.01,85684.56
2025-03-26,87217.48,85857.35
2025-03-27,84381.8,84706.29
2025-03-28,82616.83,84316.77
2025-03-29,82379.98,83388.266
2025-03-30,82534.32,82859.01
2025-03-31,85170.37,83845.17
2025-04-01,82490.08,82214.945
2025-04-02,83174.33,84205.11
2025-04-03,83860.16,82825.51
2025-04-04,83498.25,82853.46
2025-04-05,78370.75,80702.55
2025-04-06,79140.01,81548.336
2025-04-07,76251.64,78209.445
2025-04-08,82594.75,82054.74
2025-04-09,79552.34,78309.2
2025-04-10,83380.47,82585.875
2025-04-11,85271.01,81849.734
2025-04-12,83733.07,82349.36
2025-04-13,84590.36,83775.36
2025-04-14,83629.78,82966.3
2025-04-15,84028.72,83908.61
2025-04-16,84961.97,83666.46
2025-04-17,84466.47,83594.94
2025-04-18,85074.99,84189.734
2025-04-19,85177.34,84065.9
2025-04-20,87522.07,85125.695
2025-04-21,93489.1,87781.65
2025-04-22,93740.92,88145.09
2025-04-23,94021.96,90663.09
2025-04-24,94708.79,91163.66
2025-04-25,94666.64,92042.09
2025-04-26,93780.57,92252.08
2025-04-27,95042.57,93252.336
2025-04-28,94271.09,92630.195
2025-04-29,94182.54,93145.836
2025-04-30,96524.98,93993.02
2025-05-01,96929.80999999998,94300.445
2025-05-02,95861.33,94670.51
2025-05-03,94272.55,94277.9
2025-05-04,94733.99,94507.14
2025-05-05,96839.17,94796.65
2025-05-06,97058.32,95027.43
2025-05-07,103253.48999999999,98441.36
2025-05-08,102986.96,98363.625
2025-05-09,104821.18999999999,101486.94
2025-05-10,104137.61999999998,101340.305
2025-05-11,102800.21000000002,101790.93
2025-05-12,104131.06,102461.85
2025-05-13,103545.38000000002,101885.23
2025-05-14,103786.43,102540.35
2025-05-15,103500.03,102115.125
2025-05-16,103161.07,102518.695
2025-05-17,106473.45999999999,103581.8
2025-05-18,105616.18,103082.055
2025-05-19,106883.24,104544.445
2025-05-20,109699.54,105645.4
2025-05-21,111722.53,107189.805
2025-05-22,107329.61,106877.89
2025-05-23,107794.01,108178.81
