Date,Actual,Predicted
2025-04-19,85177.34,84335.65
2025-04-20,87522.07,87660.46
2025-04-21,93489.1,90326.85
2025-04-22,93740.92,90182.56
2025-04-23,94021.96,91641.53
2025-04-24,94708.79,91589.414
2025-04-25,94666.64,92400.055
2025-04-26,93780.57,92471.04
2025-04-27,95042.57,92442.83
2025-04-28,94271.09,92873.37
2025-04-29,94182.54,90873.28
2025-04-30,96524.98,92250.36
2025-05-01,96929.81,94647.91
2025-05-02,95861.33,93412.63
2025-05-03,94272.55,91927.6
2025-05-04,94733.99,91412.01
2025-05-05,96839.17,94251.1
2025-05-06,97058.32,94969.76
2025-05-07,103253.49,97679.336
2025-05-08,102986.96,97500.84
2025-05-09,104821.19,100059.45
2025-05-10,104137.62,99595.97
2025-05-11,102800.21,98362.57
2025-05-12,104131.06,99978.79
2025-05-13,103545.38,98761.2
2025-05-14,103786.43,100079.46
2025-05-15,103500.03,99690.914
2025-05-16,103161.07,99454.06
2025-05-17,106473.46,100420.47
2025-05-18,105616.18,100319.19
2025-05-19,106883.24,101255.52
2025-05-20,109699.54,101294.52
2025-05-21,111722.53,101175.15
2025-05-22,107329.61,97468.83
2025-05-23,107794.01,100486.375
2025-05-24,109048.68,100064.52
2025-05-25,109464.32,100472.2
2025-05-26,108978.46,99696.49
2025-05-27,107819.29,99245.37
2025-05-28,105572.58,98482.06
2025-05-29,104033.26,98653.44
2025-05-30,104645.87,99174.56
2025-05-31,105697.94,100123.68
2025-06-01,105904.94,99413.82
2025-06-02,105447.82,98638.125
2025-06-03,104753.38,98793.48
2025-06-04,101570.2,96302.23
2025-06-05,104397.99,98257.52
2025-06-06,105619.02,99381.94
2025-06-07,105784.4,99582.56
2025-06-08,110301.15,100371.59
2025-06-09,110300.24,99462.445
2025-06-10,108669.37,98152.29
2025-06-11,105721.05,97884.82
2025-06-12,106118.7,99628.03
2025-06-13,105465.42,98215.14
2025-06-14,105599.25,99007.38
2025-06-15,106853.38,99114.21
2025-06-16,104590.44,97535.8
2025-06-17,104915.6,99613.86
